"","X","Country","Date","Annual.GDP","GDP.per.capita","Debt","Debt.Per.Capita","Deficit...M...","Expenditure..M...","Expenditure.Per.Capita","Corruption.Index","Exports","Exports...GDP","Imports","Imports...GDP","Population","Fertility.Rate","Crude.death.rate","HDI","Life.expectancy","CO2.Tons.per.capita","Continent","status"
"49",49,"Australia",2013,1518345,65171,463060,19876,-42711,554118.4,23784,81,252981,0.1642,242140,0.1571,23298000,1.86,0.0064,0.931,82.15,17.47,"Oceania","Developed"
"50",50,"Australia",2012,1569104,68436,431856,18835,-55062,573652.1,25020,85,256675,0.1613,260940,0.164,22928000,1.92,0.0066,0.929,82.05,17.92,"Oceania","Developed"
"51",51,"Australia",2011,1513991,67222,364411,16180,-68606,550372.5,24437,88,271733,0.1755,243701,0.1574,22522000,1.93,0.0066,0.925,81.9,18.26,"Oceania","Developed"
"52",52,"Australia",2010,1251717,56454,255099,11505,-64130,463204.5,20891,87,212634.2,0.1633,201639,0.1549,22172000,1.93,0.0065,0.923,81.7,18.66,"Oceania","Developed"
"53",53,"Australia",2009,998935,45685,166544,7617,-45717,378264.7,17299,87,154331.1,0.1507,165471,0.1616,21866000,1.97,0.0065,0.921,81.54,19.18,"Oceania","Developed"
"54",54,"Australia",2008,1055569,49152,124076,5777,-11632,370681,17260,80,187256.7,0.176,200273,0.1882,21476000,1.98,0.0067,0.92,81.4,19.29,"Oceania","Developed"
"55",55,"Australia",2007,947938,45105,91821,4369,14007,325890.8,15507,86,141358.4,0.1432,165336,0.1675,21016000,1.96,0.0067,0.915,81.29,19.5,"Oceania","Developed"
"56",56,"Australia",2006,781142,37869,77853,3774,13877,270568.3,13117,87,123437.4,0.1508,139253,0.1701,20628000,1.91,0.0064,0.911,81.04,19.34,"Oceania","Developed"
"57",57,"Australia",2005,734283,36151,79927,3935,12564,254517.4,12530,88,106097.2,0.1397,125281,0.1649,20312000,1.81,0.0064,0.908,80.84,19.35,"Oceania","Developed"
"58",58,"Australia",2004,656519,32751,78474,3915,8720,229587,11453,80,86564.5,0.1275,109384,0.1612,20046000,1.77,0.0065,0.907,80.49,19.38,"Oceania","Developed"
"59",59,"Australia",2003,539735,27222,71379,3600,5688,188962.6,9531,88,70377,0.1256,89084.4,0.159,19827000,1.75,0.0066,0.904,80.24,18.91,"Oceania","Developed"
"60",60,"Australia",2002,424358,21645,63919,3260,820,148674.2,7583,86,65033,0.1492,72689.5,0.1668,19605000,1.76,0.0068,0.903,79.94,18.92,"Oceania","Developed"
"61",61,"Austria",2016,394212,45105,327867,37373,-6074,198200.4,22592,75,152089.8,0.3846,157696.7,0.3989,8772865,1.53,0.0092,0.906,81.8,7.99,"Europe","Developed"
"62",62,"Austria",2015,381998,44266,324268,37270,-3858,195305.2,22448,76,152728.3,0.4001,156045.8,0.4087,8700471,1.49,0.0096,0.903,81.3,7.96,"Europe","Developed"
"63",63,"Austria",2014,442699,51814,371981,43330,-12079,232051.2,27030,72,178223.3,0.4027,182075.8,0.4112,8584926,1.46,0.0092,0.901,81.6,7.81,"Europe","Developed"
"64",64,"Austria",2013,430197,50747,349595,41091,-8389,222180.6,26115,69,175155.9,0.4072,183277.4,0.426,8507786,1.44,0.0094,0.897,81.3,8.28,"Europe","Developed"
"65",65,"Austria",2012,409661,48617,335385,39682,-8962,209669,24807,69,166611.1,0.407,178513.1,0.436,8451860,1.44,0.0094,0.899,81.1,8.31,"Europe","Developed"
"66",66,"Austria",2011,431609,51452,355912,42330,-11024,219721.5,26132,78,177427.6,0.411,191417.5,0.4434,8408121,1.43,0.0091,0.897,81.1,8.68,"Europe","Developed"
"67",67,"Austria",2010,392595,46955,324395,38733,-17422,207274.8,24749,79,152559.6,0.3889,159009.1,0.4054,8375164,1.44,0.0092,0.895,80.7,8.96,"Europe","Developed"
"68",68,"Austria",2009,401322,48112,320824,38415,-21413,217534.3,26047,79,136988.5,0.341,143063.4,0.3561,8351643,1.39,0.0093,0.886,80.5,8.36,"Europe","Developed"
"69",69,"Austria",2008,432005,51914,296822,35612,-6460,215488.1,25853,80,181289,0.4196,184293.3,0.4265,8335003,1.42,0.009,0.884,80.6,9.19,"Europe","Developed"
"70",70,"Austria",2007,389231,46923,253096,30464,-5272,191654,23069,81,163620.4,0.4204,163037.3,0.4189,8307989,1.38,0.009,0.881,80.3,9.21,"Europe","Developed"
"71",71,"Austria",2006,336298,40675,226347,27327,-8526,169417.9,20454,86,136751.3,0.4067,137211.9,0.408,8282984,1.41,0.009,0.861,80.1,9.52,"Europe","Developed"
"72",72,"Austria",2005,316267,38451,216975,26286,-7929,161699.9,19590,87,125182.1,0.396,127327.1,0.4028,8254298,1.41,0.0091,0.855,79.5,9.81,"Europe","Developed"
"73",73,"Austria",2004,301321,36884,196518,23962,-14485,161897.8,19740,80,118375.6,0.3927,119905.3,0.3978,8201359,1.42,0.0091,0.849,79.3,9.79,"Europe","Developed"
"74",74,"Austria",2003,262208,32299,172721,21212,-4686,134475,16515,80,97146.1,0.3704,99531.5,0.3795,8142573,1.38,0.0095,0.842,78.8,9.7,"Europe","Developed"
"75",75,"Austria",2002,214243,26508,143065,17662,-2961,109460.9,13513,78,78673,0.3669,78299.1,0.3652,8100273,1.39,0.0094,0.838,78.9,9.13,"Europe","Developed"
"76",76,"Belgium",2016,469867,41540,499650,44015,-11265,252972.5,22285,77,398133.6,0.8359,379409.5,0.7966,11351727,1.68,0.0095,0.915,81.5,9.08,"Europe","Developed"
"77",77,"Belgium",2015,456170,40594,486220,42986,-11159,248362.4,21957,77,396841.5,0.8586,375530,0.8125,11311117,1.7,0.0098,0.913,81.1,9.21,"Europe","Developed"
"78",78,"Belgium",2014,531652,47550,572795,50973,-16360,297676.2,26490,76,472191.6,0.8816,453700.1,0.8472,11237274,1.74,0.0093,0.909,81.4,8.83,"Europe","Developed"
"79",79,"Belgium",2013,521083,46784,550408,49228,-16329,292805.7,26188,75,468760.5,0.8984,451677.4,0.8656,11180840,1.76,0.0098,0.908,80.7,9.44,"Europe","Developed"
"80",80,"Belgium",2012,498172,44978,520026,46689,-21426,280217.6,25159,75,445939.2,0.8988,439128.5,0.8851,11137974,1.8,0.0098,0.905,80.5,9.36,"Europe","Developed"
"81",81,"Belgium",2011,527607,47962,541636,48902,-22661,289434.2,26132,75,475671.8,0.9089,466942.8,0.8922,11075889,1.81,0.0094,0.904,80.7,9.55,"Europe","Developed"
"82",82,"Belgium",2010,484416,44688,482730,43882,-19679,259378,23578,71,407692.3,0.8469,391177.1,0.8126,11000638,1.86,0.0097,0.903,80.3,10.59,"Europe","Developed"
"83",83,"Belgium",2009,485947,45191,484308,44678,-26246,264250.3,24378,71,370125,0.7677,353364,0.7342,10839905,1.84,0.0096,0.899,80.2,9.93,"Europe","Developed"
"84",84,"Belgium",2008,520687,48814,481956,44820,-5667,262683,24429,70,471840.3,0.912,466307.4,0.9013,10753080,1.85,0.0098,0.899,79.8,10.72,"Europe","Developed"
"85",85,"Belgium",2007,472476,44638,411237,38553,313,228697.3,21440,71,430951.9,0.9151,411558,0.8739,10666866,1.82,0.0095,0.899,79.9,10.64,"Europe","Developed"
"86",86,"Belgium",2006,410178,39022,373535,35291,978,199187.6,18819,73,366744.6,0.8983,351635.1,0.8613,10584534,1.8,0.0096,0.896,79.5,11.06,"Europe","Developed"
"87",87,"Belgium",2005,387725,37118,366979,34913,-10472,200040.8,19031,74,334400.1,0.867,318699.9,0.8263,10511382,1.76,0.0099,0.889,79.1,11.25,"Europe","Developed"
"88",88,"Belgium",2004,371399,35724,358764,34345,-881,182092.3,17432,70,306866.4,0.8311,285620.6,0.7736,10445852,1.72,0.0097,0.885,79,11.67,"Europe","Developed"
"89",89,"Belgium",2003,319628,30864,323372,31104,-5930,162378.4,15619,76,255616.8,0.8036,234944.8,0.7386,10396421,1.67,0.0103,0.882,78.3,11.85,"Europe","Developed"
"90",90,"Belgium",2002,259910,25210,272438,26308,-113,128946.2,12452,71,216127.4,0.8364,198311.1,0.7675,10355844,1.65,0.0102,0.879,78.2,11.43,"Europe","Developed"
"91",91,"Bolivia",2016,34189,3099,15899,1441,-2477,13655.1,1238,33,7081.9,0.2071,8426.9,0.2465,11031813,2.83,0.00683,0.689,70.63,1.99,"South America","Developing"
"92",92,"Bolivia",2015,33241,3058,13596,1251,-2295,14820.6,1363,34,8725.9,0.2625,9766.4,0.2938,10869730,2.89,0.00689,0.681,70.28,1.83,"South America","Developing"
"93",93,"Bolivia",2014,33237,3104,12495,1167,-1118,14373.5,1343,35,12299.7,0.3701,10518.8,0.3165,10706517,2.95,0.00697,0.675,69.89,1.86,"South America","Developing"
"94",94,"Bolivia",2013,30883,2929,11148,1057,203,11868.3,1126,34,11656.7,0.3774,9337.7,0.3024,10542376,3.01,0.00706,0.668,69.47,1.75,"South America","Developing"
"95",95,"Bolivia",2012,27282,2665,9650,943,479,9825.8,960,34,11254,0.4125,8578.3,0.3144,10239000,3.08,0.00718,0.662,69.01,1.76,"South America","Developing"
"96",96,"Bolivia",2011,24135,2395,8528,846,201,8535,847,28,8358.2,0.3463,7927.3,0.3285,10078000,3.14,0.0073,0.655,68.52,1.6,"South America","Developing"
"97",97,"Bolivia",2010,19786,1995,7441,750,329,6227.3,628,28,6401.9,0.3236,5590.2,0.2825,9918000,3.21,0.00745,0.649,68.01,1.5,"South America","Developing"
"98",98,"Bolivia",2009,17464,1790,6855,702,2,6262.4,642,27,4960.4,0.284,4544.9,0.2602,9759000,3.29,0.0076,0.647,67.48,1.39,"South America","Developing"
"99",99,"Bolivia",2008,16792,1749,6178,644,599,5934,618,30,6525.1,0.3886,5081.4,0.3026,9600000,3.36,0.00777,0.64,66.94,1.33,"South America","Developing"
"100",100,"Bolivia",2007,13216,1400,5290,560,230,4314.9,457,29,4504.2,0.3408,3585.7,0.2713,9441000,3.45,0.00794,0.631,66.4,1.24,"South America","Developing"
"101",101,"Bolivia",2006,11520,1241,6264,675,515,3436.7,370,27,3951.5,0.343,2915.7,0.2531,9283000,3.53,0.00812,0.63,65.85,1.16,"South America","Developing"
"102",102,"Bolivia",2005,9573,1049,7861,861,-215,3174.8,348,25,2826.7,0.2953,2430.8,0.2539,9125000,3.62,0.00831,0.624,65.31,1.09,"South America","Developing"
"103",103,"Bolivia",2004,8785,980,7893,880,-487,2842.7,317,20,2165.8,0.2465,1876.9,0.2136,8968000,3.71,0.0085,0.622,64.77,1.06,"South America","Developing"
"104",104,"Bolivia",2003,8092,918,5995,680,-637,2589.4,294,23,1597.4,0.1974,1615.9,0.1997,8810000,3.8,0.00871,0.621,64.21,1.01,"South America","Developing"
"105",105,"Bolivia",2002,7917,915,5478,633,-696,2637.7,305,22,1298.7,0.164,1774.9,0.2242,8653000,3.89,0.00893,0.617,63.64,0.94,"South America","Developing"
"106",106,"Botswana",2016,15658,6958,2478,1102,108,5167.5,2297,60,7366,0.4704,6143.5,0.3924,2250000,2.94,0.006,0.712,68.18,3.15,"Africa","Developing"
"107",107,"Botswana",2015,14445,6539,2587,1171,-686,5380.3,2436,63,6315.6,0.4372,7237.9,0.5011,2209000,2.97,0.00626,0.706,67.34,3.25,"Africa","Developing"
"108",108,"Botswana",2014,16259,7498,2820,1300,601,5634.6,2598,63,8510.3,0.5234,8077.7,0.4968,2169000,2.99,0.00663,0.701,66.27,3.26,"Africa","Developing"
"109",109,"Botswana",2013,14915,7007,2702,1269,867,4972.8,2336,64,7911,0.5304,8352,0.56,2129000,3,0.00712,0.693,64.98,2.6,"Africa","Developing"
"110",110,"Botswana",2012,16110,7711,3191,1528,142,5969.3,2857,65,5971.2,0.3707,8025.3,0.4982,2089000,3.01,0.00771,0.683,63.51,2.45,"Africa","Developing"
"111",111,"Botswana",2011,15393,7504,3171,1546,-18,5671,2765,61,5881.9,0.3821,7272,0.4724,2051000,3.02,0.00839,0.673,61.91,2.01,"Africa","Developing"
"112",112,"Botswana",2010,12794,6375,2742,1366,-1056,5653.5,2817,58,4693.2,0.3668,5656.8,0.4421,2007000,3.02,0.00915,0.66,60.21,1.74,"Africa","Developing"
"113",113,"Botswana",2009,10272,5184,1928,973,-1461,5527.9,2789,56,3455.7,0.3364,4728,0.4603,1982000,3.03,0.00997,0.648,58.45,2.18,"Africa","Developing"
"114",114,"Botswana",2008,11028,5641,840,430,-821,5188.5,2654,50,4950.9,0.4489,5211.1,0.4725,1955000,3.03,0.01082,0.639,56.68,2.33,"Africa","Developing"
"115",115,"Botswana",2007,10941,5676,620,322,625,4043.9,2097,54,5174.4,0.4729,4066.8,0.3717,1928000,3.05,0.01166,0.625,54.98,2.34,"Africa","Developing"
"116",116,"Botswana",2006,10175,5353,670,353,1365,3397.5,1787,56,4529,0.4451,3085.8,0.3033,1901000,3.07,0.01244,0.611,53.44,2.26,"Africa","Developing"
"117",117,"Botswana",2005,10013,5338,777,414,1063,3476.8,1853,59,4425.3,0.442,3161,0.3157,1876000,3.09,0.0131,0.596,52.13,2.41,"Africa","Developing"
"118",118,"Botswana",2004,8966,4841,958,517,125,3709.3,2003,60,3513.1,0.3918,3231.5,0.3604,1852000,3.12,0.01359,0.584,51.15,2.27,"Africa","Developing"
"119",119,"Botswana",2003,7539,4119,547,299,-14,3301.1,1804,57,2810,0.3727,2448,0.3247,1830000,3.16,0.01387,0.575,50.52,2.29,"Africa","Developing"
"120",120,"Botswana",2002,5456,3018,463,256,-218,2492.4,1379,64,2425,0.4445,1845,0.3382,1808000,3.2,0.01395,0.566,50.23,2.38,"Africa","Developing"
"121",121,"Brazil",2016,1795365,8751,1406886,6858,-161575,712324.1,3472,40,185185.4,0.1029,143411,0.0797,205157000,1.75,0.00631,0.758,75.23,2.38,"South America","Developing"
"122",122,"Brazil",2015,1799882,8846,1306199,6419,-184537,692611.3,3404,38,191134.3,0.1063,179091.4,0.0996,203476000,1.75,0.00625,0.757,74.99,2.57,"South America","Developing"
"123",123,"Brazil",2014,2456111,12176,1529973,7585,-147842,945751.8,4688,43,225100.7,0.0915,239156.1,0.0972,201718000,1.76,0.0062,0.752,74.75,2.74,"South America","Developing"
"124",124,"Brazil",2013,2471529,12357,1487753,7439,-73038,925530.1,4628,42,242033.5,0.0981,250555.9,0.1015,200004000,1.76,0.00615,0.748,74.48,2.63,"South America","Developing"
"125",125,"Brazil",2012,2464377,12427,1531578,7723,-62045,916746.2,4623,43,242577.9,0.0984,233398.4,0.0946,198315000,1.77,0.00611,0.736,74.21,2.49,"South America","Developing"
"126",126,"Brazil",2011,2613979,13296,1600211,8139,-64500,982438.7,4997,38,256039.9,0.0978,236963.6,0.0905,196604000,1.78,0.00607,0.731,73.92,2.34,"South America","Developing"
"127",127,"Brazil",2010,2207602,11327,1391323,7139,-84383,880371.5,4517,37,201915,0.0914,191537,0.0867,194891000,1.8,0.00605,0.727,73.62,2.26,"South America","Developing"
"128",128,"Brazil",2009,1667666,8642,1093911,5668,-53265,619939.3,3212,37,152994.7,0.0911,133676.9,0.0796,192981000,1.82,0.00603,0.718,73.3,2.02,"South America","Developing"
"129",129,"Brazil",2008,1694860,8873,1057247,5535,-26007,634522.3,3322,30,197942,0.1157,182377.4,0.1066,191010000,1.85,0.00602,0.716,72.97,2.18,"South America","Developing"
"130",130,"Brazil",2007,1396105,7385,896017,4740,-38238,525514.2,2780,35,160649,0.1148,126645.2,0.0905,189038000,1.88,0.00602,0.705,72.62,2.1,"South America","Developing"
"131",131,"Brazil",2006,1106368,5914,729281,3899,-39537,434101,2321,33,137807,0.1245,95837.9,0.0866,187062000,1.93,0.00602,0.702,72.26,2.03,"South America","Developing"
"132",132,"Brazil",2005,890671,4815,611195,3304,-31534,354325.2,1915,30,118529,0.1333,77627.8,0.0873,184991000,1.98,0.00604,0.7,71.9,2.04,"South America","Developing"
"133",133,"Brazil",2004,668432,3655,469229,2566,-19258,255575.2,1398,30,96677.8,0.1444,66433.4,0.0992,182865000,2.03,0.00606,0.698,71.53,2.05,"South America","Developing"
"134",134,"Brazil",2003,557680,3086,412221,2281,-28909,228888.9,1267,39,73203.2,0.1307,50881.1,0.0909,180708000,2.1,0.00608,0.695,71.17,1.99,"South America","Developing"
"135",135,"Brazil",2002,509358,2854,402004,2252,-22548,198534.3,1112,40,60438.7,0.1198,49722.5,0.0985,178499000,2.16,0.00611,0.698,70.81,2.03,"South America","Developing"
"136",136,"Bulgaria",2016,53236,7496,15768,2220,48,18828.6,2651,41,26572.4,0.4941,28933,0.538,7101859,1.54,0.0151,0.81,74.9,6.29,"Europe","Developed"
"137",137,"Bulgaria",2015,50201,7017,13171,1841,-869,20478.7,2863,41,25371,0.5009,29205.4,0.5768,7153784,1.53,0.0153,0.807,74.7,6.75,"Europe","Developed"
"138",138,"Bulgaria",2014,56815,7889,15435,2143,-3091,24677.2,3426,43,29245.4,0.5141,34650.6,0.6092,7202198,1.53,0.0151,0.797,74.5,6.41,"Europe","Developed"
"139",139,"Bulgaria",2013,55557,7668,9492,1310,-240,21072.6,2908,41,29579.2,0.5317,34302.8,0.6166,7245677,1.48,0.0144,0.792,74.9,6.04,"Europe","Developed"
"140",140,"Bulgaria",2012,53901,7399,9000,1235,-171,18597.1,2553,41,26685.9,0.4941,32710.5,0.6057,7284552,1.5,0.015,0.786,74.4,6.7,"Europe","Developed"
"141",141,"Bulgaria",2011,57420,7837,8748,1194,-1138,19457.5,2656,33,28208.4,0.4912,32581.9,0.5674,7327224,1.51,0.0147,0.782,74.2,7.32,"Europe","Developed"
"142",142,"Bulgaria",2010,50611,6744,7763,1053,-1580,18337.6,2488,36,20629.8,0.409,25513.2,0.5059,7369431,1.57,0.0149,0.779,73.8,6.57,"Europe","Developed"
"143",143,"Bulgaria",2009,51885,6860,7130,961,-2112,20497.7,2762,38,16318.4,0.3128,23538.6,0.4512,7421766,1.66,0.0145,0.774,73.7,6.18,"Europe","Developed"
"144",144,"Bulgaria",2008,54408,7153,7130,955,868,20312.6,2720,30,22362.2,0.4085,36908.2,0.6742,7467119,1.56,0.0148,0.771,73.3,7.2,"Europe","Developed"
"145",145,"Bulgaria",2007,44410,5813,7259,966,490,16771.4,2231,41,18518.3,0.4165,29961.2,0.6738,7518002,1.49,0.015,0.764,73,7.55,"Europe","Developed"
"146",146,"Bulgaria",2006,34131,4445,7183,949,622,11584.7,1530,40,15064.2,0.4286,23269.6,0.5627,7572673,1.44,0.0149,0.756,72.7,6.99,"Europe","Developed"
"147",147,"Bulgaria",2005,29636,3839,7948,1042,302,10990.3,1441,40,11739,0.3837,18163,0.5199,7629371,1.37,0.0148,0.75,72.5,6.77,"Europe","Developed"
"148",148,"Bulgaria",2004,25958,3345,9362,1218,471,9923.5,1291,40,9932.4,0.3786,14453.5,0.5509,7688573,1.33,0.0143,0.745,72.5,6.55,"Europe","Developed"
